"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"21","382 mi","2.8 mi","379 mi","6.3 mi","330 mi","403 mi","669 mi","410 mi","214 mi","275 mi","72.0 mi","671 mi","452 mi","216 mi","455 mi","473 mi","319 mi","110 mi","527 mi","123 mi",NA,"149 mi","201 mi","286 mi","333 mi","251 mi","619 mi","644 mi","331 mi","332 mi"
"22","531 mi","152 mi","528 mi","156 mi","477 mi","552 mi","816 mi","493 mi","260 mi","296 mi","221 mi","818 mi","599 mi","363 mi","601 mi","346 mi","468 mi","111 mi","401 mi","272 mi","149 mi",NA,"57.7 mi","143 mi","188 mi","401 mi","768 mi","792 mi","481 mi","259 mi"
"23","584 mi","205 mi","581 mi","208 mi","453 mi","605 mi","792 mi","547 mi","314 mi","308 mi","274 mi","794 mi","575 mi","416 mi","578 mi","296 mi","521 mi","156 mi","350 mi","324 mi","201 mi","57.7 mi",NA,"86.2 mi","171 mi","452 mi","747 mi","771 mi","533 mi","225 mi"
"24","669 mi","290 mi","666 mi","293 mi","538 mi","690 mi","877 mi","632 mi","399 mi","393 mi","359 mi","879 mi","660 mi","501 mi","663 mi","300 mi","606 mi","241 mi","303 mi","409 mi","286 mi","143 mi","86.2 mi",NA,"104 mi","537 mi","831 mi","856 mi","617 mi","227 mi"
"25","716 mi","336 mi","712 mi","340 mi","662 mi","737 mi","1,000 mi","638 mi","404 mi","483 mi","406 mi","1,003 mi","784 mi","548 mi","786 mi","357 mi","653 mi","299 mi","345 mi","456 mi","333 mi","188 mi","171 mi","104 mi",NA,"584 mi","951 mi","975 mi","664 mi","309 mi"
"26","136 mi","250 mi","132 mi","246 mi","465 mi","157 mi","744 mi","175 mi","238 mi","455 mi","206 mi","746 mi","585 mi","103 mi","534 mi","722 mi","75.8 mi","360 mi","777 mi","145 mi","251 mi","401 mi","452 mi","537 mi","584 mi",NA,"699 mi","720 mi","84.1 mi","582 mi"
"27","787 mi","622 mi","788 mi","626 mi","294 mi","762 mi","52.2 mi","862 mi","834 mi","439 mi","637 mi","56.9 mi","225 mi","594 mi","190 mi","822 mi","772 mi","600 mi","877 mi","726 mi","619 mi","768 mi","747 mi","831 mi","951 mi","699 mi",NA,"28.8 mi","761 mi","694 mi"
"28","807 mi","647 mi","809 mi","650 mi","318 mi","783 mi","30.9 mi","882 mi","858 mi","463 mi","661 mi","33.0 mi","261 mi","615 mi","211 mi","847 mi","792 mi","624 mi","901 mi","746 mi","644 mi","792 mi","771 mi","856 mi","975 mi","720 mi","28.8 mi",NA,"781 mi","717 mi"
"29","54.0 mi","330 mi","50.6 mi","326 mi","527 mi","74.9 mi","806 mi","149 mi","285 mi","535 mi","286 mi","808 mi","647 mi","184 mi","597 mi","803 mi","31.8 mi","440 mi","857 mi","225 mi","331 mi","481 mi","533 mi","617 mi","664 mi","84.1 mi","761 mi","781 mi",NA,"662 mi"
"30","715 mi","335 mi","711 mi","338 mi","404 mi","735 mi","742 mi","747 mi","514 mi","258 mi","404 mi","744 mi","525 mi","542 mi","528 mi","150 mi","651 mi","225 mi","204 mi","455 mi","332 mi","259 mi","225 mi","227 mi","309 mi","582 mi","694 mi","717 mi","662 mi",NA
