"","University of Chicago","University of Michigan-Ann Arbor","Northwestern University","University of Illinois at Urbana-Champaign","Purdue University","University of Wisconsin-Madison","Michigan State University","The Ohio State University","Washington University in St. Louis","University of Minnesota Twin Cities","Case Western Reserve University","Vanderbilt University","University of Notre Dame","Indiana University Bloomington","University of Illinois at Chicago (UIC)","Iowa State University","Illinois Institute of Technology","Missouri University of Science and Technology","University of Iowa","University of Missouri, Columbia","University of Kentucky","University of Cincinnati","Wayne State University","Michigan Technological University","Loyola University Chicago","Saint Louis University","Indiana University–Purdue University Indianapolis","Kent State University","Ohio University","University of Louisville College of Business","University of Toledo","University of Wisconsin Milwaukee ","Western Michigan University","Central Michigan University","Cleveland State University","Indiana State University","Marquette University","Miami University","University of Memphis","University of Missouri Saint Louis","Illinois State University"
"University of Cincinnati","287 mi","248 mi","308 mi","232 mi","177 mi","442 mi","312 mi","110 mi","354 mi","700 mi","251 mi","277 mi","247 mi","127 mi","293 mi","598 mi","290 mi","452 mi","474 mi","464 mi","87.2 mi",NA,"261 mi","712 mi","302 mi","350 mi","113 mi","244 mi","158 mi","105 mi","204 mi","394 mi","302 mi","378 mi","248 mi","183 mi","389 mi","37.7 mi","478 mi","357 mi","283 mi"
"Wayne State University","273 mi","41.7 mi","294 mi","381 mi","280 mi","431 mi","87.6 mi","198 mi","536 mi","690 mi","173 mi","536 mi","217 mi","337 mi","280 mi","612 mi","277 mi","635 mi","488 mi","647 mi","346 mi","261 mi",NA,"551 mi","289 mi","531 mi","288 mi","194 mi","282 mi","363 mi","62.7 mi","375 mi","139 mi","153 mi","170 mi","365 mi","371 mi","255 mi","737 mi","539 mi","384 mi"
"Michigan Technological University","421 mi","537 mi","402 mi","548 mi","542 mi","327 mi","493 mi","721 mi","685 mi","367 mi","707 mi","892 mi","509 mi","651 mi","415 mi","578 mi","417 mi","783 mi","489 mi","724 mi","789 mi","712 mi","551 mi",NA,"408 mi","680 mi","601 mi","729 mi","805 mi","718 mi","588 mi","323 mi","551 mi","425 mi","705 mi","597 mi","324 mi","702 mi","952 mi","687 mi","515 mi"
"Loyola University Chicago","16.7 mi","250 mi","4.8 mi","145 mi","131 mi","144 mi","231 mi","367 mi","313 mi","402 mi","357 mi","482 mi","105 mi","241 mi","12.1 mi","358 mi","12.8 mi","412 mi","234 mi","396 mi","378 mi","302 mi","289 mi","408 mi",NA,"308 mi","192 mi","378 mi","440 mi","309 mi","248 mi","89.1 mi","156 mi","270 mi","355 mi","190 mi","84.7 mi","293 mi","550 mi","315 mi","142 mi"
"Saint Louis University","300 mi","511 mi","313 mi","177 mi","271 mi","362 mi","492 mi","422 mi","5.8 mi","534 mi","563 mi","312 mi","367 mi","226 mi","297 mi","379 mi","297 mi","104 mi","259 mi","123 mi","336 mi","350 mi","531 mi","680 mi","308 mi",NA,"244 mi","557 mi","495 mi","271 mi","468 mi","379 mi","415 mi","530 mi","561 mi","171 mi","374 mi","331 mi","293 mi","14.8 mi","170 mi"
"Indiana University–Purdue University Indianapolis","175 mi","267 mi","196 mi","119 mi","65.3 mi","330 mi","259 mi","178 mi","249 mi","589 mi","320 mi","293 mi","153 mi","50.6 mi","182 mi","486 mi","179 mi","347 mi","362 mi","359 mi","190 mi","113 mi","288 mi","601 mi","192 mi","244 mi",NA,"313 mi","251 mi","118 mi","224 mi","283 mi","231 mi","324 mi","317 mi","77.7 mi","278 mi","103 mi","473 mi","252 mi","170 mi"
"Kent State University","362 mi","193 mi","383 mi","434 mi","340 mi","521 mi","257 mi","138 mi","562 mi","780 mi","41.5 mi","519 mi","281 mi","363 mi","368 mi","702 mi","365 mi","660 mi","578 mi","672 mi","329 mi","244 mi","194 mi","729 mi","378 mi","557 mi","313 mi",NA,"195 mi","346 mi","142 mi","462 mi","283 mi","320 mi","39.3 mi","388 mi","457 mi","255 mi","719 mi","562 mi","472 mi"
"Ohio University","424 mi","268 mi","445 mi","371 mi","314 mi","579 mi","332 mi","82.4 mi","500 mi","838 mi","221 mi","424 mi","353 mi","300 mi","430 mi","738 mi","427 mi","598 mi","614 mi","610 mi","189 mi","158 mi","282 mi","805 mi","440 mi","495 mi","251 mi","195 mi",NA,"252 mi","224 mi","532 mi","351 mi","397 mi","218 mi","329 mi","528 mi","166 mi","625 mi","503 mi","423 mi"
"University of Louisville College of Business","292 mi","350 mi","313 mi","238 mi","182 mi","447 mi","371 mi","212 mi","277 mi","706 mi","354 mi","175 mi","262 mi","107 mi","299 mi","605 mi","296 mi","375 mi","481 mi","393 mi","77.7 mi","105 mi","363 mi","718 mi","309 mi","271 mi","118 mi","346 mi","252 mi",NA,"307 mi","400 mi","341 mi","435 mi","351 mi","189 mi","396 mi","141 mi","374 mi","273 mi","290 mi"
"University of Toledo","232 mi","50.9 mi","253 mi","332 mi","216 mi","391 mi","115 mi","141 mi","473 mi","650 mi","122 mi","479 mi","151 mi","273 mi","238 mi","572 mi","235 mi","571 mi","448 mi","583 mi","289 mi","204 mi","62.7 mi","588 mi","248 mi","468 mi","224 mi","142 mi","224 mi","307 mi",NA,"334 mi","150 mi","181 mi","120 mi","302 mi","329 mi","198 mi","680 mi","476 mi","344 mi"
